"DA spot SC","RL actuals SC","RL MK SC","RL diff SC","VAR SC","DA spot","Trend"
-12.2914986674746,-9.00729252498572,-11.7233260023682,-8.11831862331026,-6.46542603347349,-15.33,-8.42970377189324
-11.9630271042245,-8.92529184596067,-11.3480469280273,-8.08885315357323,-6.54936546975339,-9.66,-8.40725396222533
-10.9992214493574,-6.48894401955667,-8.3560552284432,-1.33915540822621,-2.47399414848773,-13.43,-5.70306450976774
-10.0722066970318,-5.44815470861944,-7.39569285888767,0.0678446342226753,-1.21963998553328,-15.69,-4.51806020124087
-14.1770810943706,-9.61810020173116,-11.57044343884,-3.80400498895597,-5.26023450809482,-17.78,-8.57265392489187
-11.0125372337961,-6.72573364940267,-8.57877183290782,-0.728277164163536,-2.3690889058128,-10.58,-5.5314502017462
-6.72398238274483,-2.8623933962161,-4.54563781634326,3.23721114370199,1.38972025183421,-7.32,-1.50283249998228
-9.21219954408602,-5.93661430849688,-7.36509454022559,0.171797419119411,-1.92527694391386,-7.48,-4.56774887093827
-11.1956292616251,-8.59571751003623,-9.70802473975844,-2.55747101035583,-4.94424401631149,-13.79,-7.33756928150608
-5.69873769216765,-3.60642440419156,-4.45358985399522,2.19900409940995,-0.443975801232906,-9.6,-2.687755454495
-7.64139040694005,-5.64408350923073,-6.37491586228658,-0.381997372303228,-3.12591831900099,-11.71,-5.47539494768317
-6.88056412684367,-4.60766873861777,-5.32949573205468,-0.276755996343454,-2.8731090287737,-8.97,-5.58427031453525
-7.78695467986019,-4.9581354184259,-5.76382860224739,-1.80041235713635,-4.0597034473249,-10.08,-7.31250794442784
-7.64610113891097,-4.17677224269895,-5.08507985565341,-2.20391756641238,-3.99953380230389,-9.68,-7.77536757941795
-5.57351070451501,-1.56813758763095,-2.53882394718923,-0.633718711640427,-1.92384712104456,-5.95,-6.06554121147249
-7.79639888853639,-3.47440367643408,-4.43262601223446,-3.28772274539764,-4.11508669939691,-7.88,-8.42505938623267
-6.74868058650401,-2.41469269908069,-3.25434154571726,-2.52689371185653,-3.00342246105912,-5.23,-7.26360715929426
-3.70919432464611,0.224745353692061,-0.351843824445556,0.348360470691485,0.0766300636377615,-5.43,-3.82832107705409
-4.13606690435298,-0.85817316065398,-1.0764464726113,-0.0682347260268301,-0.288700397535656,-7.78,-3.7027879215915
-9.86034235378942,-7.29475871491141,-7.11243375481763,-5.8212193106381,-6.01713223061461,-16.91,-8.9233884228075
-12.9936585369847,-11.1637880910398,-10.5927411665761,-8.91998006751889,-9.18468246291744,-14.98,-11.5337335702795
-12.4510730667112,-11.3150515987567,-10.4400121671995,-8.22799079736735,-8.67497891266972,-11.87,-10.4753491240062
-13.4117365521483,-12.7487351867825,-11.7271700246056,-9.12225524531048,-9.71265272402513,-12.71,-11.1573756357293
-11.4685241536152,-11.0465409845405,-10.0139975683124,-7.12677599196696,-7.81802956281457,-10.18,-9.0037041353495
-10.5389635991131,-10.2258321622942,-9.24947490369932,-6.15504421764698,-6.91773064395316,-12.39,-7.93731261676117
-14.5089961995838,-14.2520066152532,-13.3511114959661,-10.0787169467669,-10.8966879560147,-16.31,-11.7751058181485
-8.25013008461426,-3.59995858680228,-3.17608100624372,1.88635441796194,0.44465466232073,-9.76,-6.03055375632312
-11.1524649609351,-6.17736752821999,-5.72239008345215,-0.335617628942853,-1.81693820278079,-11,-8.54661475145839
-11.5028387896501,-6.23663976241192,-5.73953495594246,-0.21680673802069,-1.67187841083927,-11.94,-8.54250346442551
-7.98121118403542,-2.41058032294209,-1.82192322111464,3.47967685989629,2.1567010799874,-15.02,-4.60912497287724
-4.62471134953293,1.27784991719975,1.99954443021276,6.83149905307813,5.72245153610083,-12.56,-0.761698899859372
-9.86189522423119,-3.491951328368,-2.54397607622652,1.42668031065956,0.653693207776374,-15.33,-5.5252493213067
-12.6933240434682,-5.67387043099065,-4.39045776013569,-1.66125488789131,-1.98598603772912,-19.87,-7.82897734959649
