"DA spot SC","RL actuals SC","RL MK SC","RL diff SC","VAR SC"
-3.82569272171999,-2.99201907901138,-3.16571155513476,-2.29470962371207,-1.91352595306365
-0.878317451569234,-0.0375956495697132,-0.225845709938458,0.661959384415148,1.0392563841841
-4.49053122583173,-3.64347806163193,-3.84632929389804,-2.94156605855264,-2.56884691001606
-8.41008128897848,-7.55737455847498,-7.77485147208557,-6.85299202297729,-6.48556250971458
-8.76039533895071,-7.90267383684603,-8.13478186304333,-7.19570503269086,-6.83429754243212
-6.92674527411287,-6.06460879391547,-6.31133428573686,-5.35493581194866,-5.00030333611259
-8.49455272188065,-7.62856205590494,-7.88987228818288,-6.91606481405724,-6.56898094775114
-8.99309453503674,-8.12377147440307,-8.39961464376517,-7.40832771769011,-7.06958665970989
-8.97482511985864,-8.10265245449331,-8.39295767936227,-7.38413775501564,-7.05455430784579
-6.07990397523221,-5.17837076624564,-5.32144814892055,-4.05184247750455,-4.37616668892609
-4.88296604907061,-3.98501654563892,-4.12289334374969,-2.87660073018729,-3.19993063027878
-8.92570854713924,-8.03129424389639,-8.16396596016053,-6.94071293515753,-7.2624188673637
-5.87276272756647,-4.98190208695062,-5.10935376451119,-3.90880562253043,-4.22829703855297
-1.83253879563365,-0.945317247887132,-1.06752347031272,0.110715730425904,-0.206009729371678
-4.88601153978187,-4.0025814829512,-4.11950637423592,-2.96311893671639,-3.27656610850465
-7.64457766400596,-6.76515846394183,-6.87675568850533,-5.74170159993892,-6.05139726019043
-2.98372562821815,-2.10860361857543,-2.2148163812629,-1.10051599114066,-1.40602602458501
-5.76056972729948,-4.89009820953723,-4.99085925561938,-3.89667167718945,-4.19760107681316
-5.85891925181754,-4.993518495199,-5.08875011037208,-4.01397322063964,-4.30996608768621
-7.57692732825188,-6.71708456984446,-6.80669858023026,-5.75056901995754,-6.04130856392744
-8.02988043576241,-7.17614988043771,-7.26004765258354,-6.22174082628984,-6.5069493649405
-6.31049730341898,-5.46350012385278,-5.5415725647315,-4.52020264069316,-4.79964160003898
-8.66083521396573,-7.82125955063798,-7.89338710764796,-6.8880070178984,-7.16147693221074
-7.49060596010133,-6.65920692129617,-6.72525958226133,-5.73486102259101,-6.00220153439821
-4.04697282532556,-3.22457248713131,-3.28440978030109,-2.30792321025753,-2.56901307034489
-3.91354932882068,-3.10103673512984,-3.15450772917923,-2.190802372067,-2.44555943947678
-9.12674293759061,-8.32507410009986,-8.37201740412938,-7.41990124701012,-7.66828248904155
-11.7301913783158,-10.940389276526,-10.9806330400616,-10.038852833754,-10.2808543259633
-10.6654471480976,-9.88860172931374,-9.92196364230718,-8.98920490138698,-9.22486182758729
-11.3416775357809,-10.5789457151123,-10.6052330079406,-9.6801200107406,-9.90950666300208
-9.18280030836921,-8.43540596872921,-8.45441541219501,-7.53551120080508,-7.75874097945481
-8.11182019685986,-7.38105418896606,-7.39257209429754,-6.47837847456458,-6.69560388818664
-11.94566867654,-11.2328888189141,-11.236691037765,-10.325648579293,-10.5370612447284
-6.00089426328776,-4.2571414910485,-3.70047142720156,-3.55787010214138,-3.6474766333275
-8.52923411159674,-6.77474554890356,-6.20936395479501,-6.10935530919653,-6.18645109369848
-8.53486186358604,-6.77090792821207,-6.19754456057264,-6.13886321756922,-6.20420815219086
